,GAME_ID,PLAYER_NAME,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DATE
0,0022200464,Deni Avdija,F,36:12,4.0,8.0,0.5,2.0,5.0,0.4,6.0,6.0,1.0,1.0,9.0,10.0,4.0,0.0,1.0,0.0,4.0,16.0,11.0,2022-12-20
22,0022200451,Deni Avdija,F,21:26,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,8.0,2.0,2022-12-18
49,0022200438,Deni Avdija,F,37:21,3.0,8.0,0.375,1.0,3.0,0.333,4.0,4.0,1.0,1.0,9.0,10.0,5.0,1.0,1.0,3.0,5.0,11.0,-17.0,2022-12-17
73,0022200422,Deni Avdija,F,28:44,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,0.0,6.0,6.0,5.0,3.0,0.0,2.0,5.0,9.0,-17.0,2022-12-14
110,0022200403,Deni Avdija,F,26:37,2.0,4.0,0.5,1.0,3.0,0.333,3.0,3.0,1.0,0.0,7.0,7.0,1.0,0.0,0.0,1.0,4.0,8.0,-3.0,2022-12-12
134,0022200389,Deni Avdija,F,38:38,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,1.0,1.0,1.0,11.0,4.0,2022-12-10
145,0022200378,Deni Avdija,F,39:53,6.0,11.0,0.545,1.0,5.0,0.2,1.0,2.0,0.5,2.0,7.0,9.0,4.0,1.0,0.0,3.0,4.0,14.0,-5.0,2022-12-09
169,0022200367,Deni Avdija,F,38:52,4.0,8.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,1.0,4.0,5.0,6.0,4.0,0.0,0.0,2.0,10.0,-9.0,2022-12-07
207,0022200349,Deni Avdija,F,25:10,3.0,11.0,0.273,1.0,8.0,0.125,0.0,0.0,0.0,1.0,7.0,8.0,1.0,2.0,1.0,1.0,3.0,7.0,-14.0,2022-12-04
218,0022200326,Deni Avdija,F,8:59,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,-17.0,2022-12-02
240,0022200315,Deni Avdija,F,26:05,3.0,7.0,0.429,0.0,1.0,0.0,1.0,2.0,0.5,0.0,5.0,5.0,3.0,1.0,1.0,0.0,4.0,7.0,-6.0,2022-11-30
275,0022200300,Deni Avdija,F,18:36,2.0,6.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,3.0,6.0,7.0,2022-11-28
291,0022200294,Deni Avdija,F,26:49,4.0,8.0,0.5,2.0,6.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,10.0,-11.0,2022-11-27
313,0022200277,Deni Avdija,F,30:42,2.0,8.0,0.25,0.0,4.0,0.0,4.0,6.0,0.667,1.0,8.0,9.0,5.0,1.0,2.0,3.0,3.0,8.0,-2.0,2022-11-25
337,0022200265,Deni Avdija,F,40.000000:36,5.0,10.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,3.0,6.0,9.0,10.0,1.0,2.0,4.0,4.0,12.0,-3.0,2022-11-23
375,0022200241,Deni Avdija,F,31:08,6.0,11.0,0.545,0.0,3.0,0.0,0.0,1.0,0.0,4.0,9.0,13.0,1.0,0.0,1.0,1.0,2.0,12.0,7.0,2022-11-20
400,0022200224,Deni Avdija,F,14:25,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,3.0,-3.0,2022-11-18
424,0022200213,Deni Avdija,F,29:34,4.0,10.0,0.4,2.0,3.0,0.667,2.0,2.0,1.0,3.0,4.0,7.0,2.0,0.0,2.0,4.0,5.0,12.0,1.0,2022-11-16
447,0022200194,Deni Avdija,F,33:54,8.0,16.0,0.5,4.0,7.0,0.571,1.0,3.0,0.333,0.0,2.0,2.0,5.0,1.0,0.0,3.0,4.0,21.0,4.0,2022-11-13
474,0022200185,Deni Avdija,F,34:22,4.0,6.0,0.667,1.0,2.0,0.5,4.0,4.0,1.0,1.0,6.0,7.0,3.0,3.0,1.0,2.0,3.0,13.0,22.0,2022-11-12
500,0022200172,Deni Avdija,F,32:22,4.0,13.0,0.308,1.0,4.0,0.25,3.0,3.0,1.0,2.0,4.0,6.0,4.0,1.0,0.0,3.0,4.0,12.0,-2.0,2022-11-10
512,0022200144,Deni Avdija,F,18:27,1.0,4.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,4.0,2022-11-07
537,0022200142,Deni Avdija,F,26:03,2.0,12.0,0.167,0.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,2.0,0.0,0.0,2.0,1.0,4.0,-16.0,2022-11-06
578,0022200123,Deni Avdija,,21:32,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,-21.0,2022-11-04
590,0022200108,Deni Avdija,,28:47,1.0,3.0,0.333,0.0,1.0,0.0,3.0,4.0,0.75,1.0,7.0,8.0,1.0,0.0,3.0,0.0,5.0,5.0,17.0,2022-11-02
629,0022200097,Deni Avdija,,16:42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,-12.0,2022-10-31
638,0022200089,Deni Avdija,F,11:01,2.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,-9.0,2022-10-30
680,0022200074,Deni Avdija,F,19:58,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,7.0,-6.0,2022-10-28
708,0022200052,Deni Avdija,F,26:50,3.0,6.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,0.0,7.0,7.0,2.0,1.0,2.0,0.0,3.0,9.0,12.0,2022-10-25
723,0022200039,Deni Avdija,F,14:27,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,2.0,1.0,2022-10-23
764,0022200019,Deni Avdija,F,23:01,2.0,4.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,1.0,1.0,1.0,5.0,6.0,16.0,2022-10-21
779,0022200004,Deni Avdija,F,7:40,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,2022-10-19
